Cr,Si,Mn,C,Ni,Mo,Nb,W,V,P,Cu,Temperature,Pressure,ExposureTime,OxygenConcentration,weightgain
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,400,25,40,8,34
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,400,25,580,8,43
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,400,30,255,8,33
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,400,30,500,8,42
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,400,30,760,8,47
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,500,25,500,8,190
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,500,25,500,8,203
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,500,25,750,8,241
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,500,30,500,8,194
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,500,30,500,8,198
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0,0.202,0.019,0.085,500,30,740,8,196
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,40,8,50
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,100,8,57.01
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,200,8,60
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,300,8,61
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,400,8,64
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,500,8,69
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,450,25,30,8,70
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,450,25,100,8,120.1
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,450,25,200,8,145
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,450,25,300,8,161
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,450,25,400,8,182.02
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,450,25,500,8,210.1
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,500,25,50,8,180
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,500,25,100,8,175
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,500,25,150,8,200
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,500,25,200,8,210.2
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,500,25,270,8,230
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,500,25,380,8,250
